ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,26,343,651,62,149,31,128,45.60932944606414,137.20991253644314,1.8269892582819842,426,0.8878474933555861,20.897874625046462,1,0.5268817204301075,0.5473485930291421,32.8258651027704,30.364452901377952,6.0,2.7320849370932807,2.23606797749979,15.247022598304481,15.104422548320612,-71.89712326349776,88.74011537017762,0.8051643192488263,45.60932944606414,137.20991253644314,0,26,19
1,27,283,589,56,171,37,140,44.51943462897526,152.46996466431096,2.0321985756443652,363,0.9082305274119407,18.982275710779543,1,0.48047538200339557,0.49207789631627025,32.39405556432868,31.38470965295043,6.324555320336759,2.493961789792286,2.23606797749979,15.20526224699857,13.555946941353787,-22.648607162251707,85.01219330881975,0.7796143250688705,44.51943462897526,152.46996466431096,0,27,27
1,28,460,816,138,169,114,135,125.58043478260869,150.0086956521739,2.0107585720875885,573,0.8824457917733278,24.201036973199617,1,0.5637254901960784,0.4973247479242575,37.36519404028604,37.44329045369811,8.06225774829855,3.153813041480772,2.8284271247461903,19.968855418425758,17.577114090151433,-25.111949914730086,107.8111831820431,0.8027923211169284,125.58043478260869,150.0086956521739,0,28,25
1,29,520,840,165,160,135,132,149.6346153846154,146.41538461538462,1.3956308698692927,600,0.6646278072221599,25.731003930322746,1,0.6190476190476191,0.7165218408314905,30.678640801171067,29.832867780352597,9.899494936611665,3.904412349754673,3.605551275463989,23.533791540299983,22.92230106613832,-73.07036948547648,95.49747468305833,0.8666666666666667,149.6346153846154,146.41538461538462,0,29,24
1,30,195,288,121,160,105,142,112.29230769230769,150.90769230769232,1.166127154305602,215,0.5873293840621877,15.756957549709801,1,0.6770833333333334,0.8575394169561841,17.777348144938752,17.88854381999832,6.324555320336759,2.6990056501728246,2.23606797749979,14.049788315990314,14.388061270887965,13.774769086122607,53.4558441227157,0.9069767441860465,112.29230769230769,150.90769230769232,0,30,25
1,31,266,399,110,161,91,140,100.06766917293233,150.01503759398497,1.6524092753813842,333,0.6263078367854935,18.403307281560924,1,0.6666666666666666,0.6051769467156949,22.484481956391495,22.20360331117452,6.708203932499369,2.649464487586238,2.23606797749979,17.694936259584807,17.52835895526623,-0.9259410693024507,74.31980515339464,0.7987987987987988,100.06766917293233,150.01503759398497,0,31,25
1,32,423,770,99,170,77,135,87.10165484633569,151.49408983451536,1.6860318881020133,509,0.9137401648231043,23.207333483685147,1,0.5493506493506494,0.5931085924630478,38.07451373767343,35.17101079013795,7.0710678118654755,3.0850214416517074,3.0,15.831128484101148,15.469638440251556,13.95839486570508,94.66904755831214,0.831041257367387,87.10165484633569,151.49408983451536,0,32,23
1,33,576,1248,179,172,147,133,163.97222222222223,154.60590277777777,2.2643995507450527,811,0.804199394899265,27.081100010292303,1,0.46153846153846156,0.4416181762935658,40.96318885160916,38.47076812334269,7.615773105863909,3.215717877666963,2.8284271247461903,26.8197233575518,24.34686451063829,-25.156847412954757,128.0243866176395,0.7102342786683107,163.97222222222223,154.60590277777777,0,33,29
1,34,171,289,108,177,91,160,99.81871345029239,168.41520467836258,1.8094280382511234,219,0.7000770616922168,14.755472278097805,1,0.5916955017301038,0.5526608292013291,18.894446277996785,20.518284528683193,5.0,2.196993849583556,2.0,15.185132047305933,13.491906222359859,-42.758856350370344,62.35533905932738,0.7808219178082192,99.81871345029239,168.41520467836258,0,34,28
1,35,268,432,150,178,132,154,140.8320895522388,164.82089552238807,1.404260694603917,306,0.7785500371042788,18.47236308621676,1,0.6203703703703703,0.7121184861490822,23.902437291284436,23.53720459187964,6.708203932499369,2.859715160119679,2.8284271247461903,14.574550619940084,15.000752216277284,18.991729031438293,68.76955262170047,0.8758169934640523,140.8320895522388,164.82089552238807,0,35,26
1,36,721,1628,148,196,104,159,127.27184466019418,175.83079056865463,3.1022109839364664,1087,0.8691984975132397,30.29860907292697,1,0.4428746928746929,0.3223507379665961,49.18850238476355,49.8196748283246,8.48528137423857,3.1640733460857526,2.8284271247461903,28.22162605150792,24.321910050520618,50.62689790013664,167.65180361560903,0.6632934682612696,127.27184466019418,175.83079056865463,0,36,30
1,37,970,1786,189,196,142,158,165.94742268041236,177.89175257731958,2.001511050669555,1206,0.8626731141198356,35.1431694414876,1,0.5431131019036954,0.4996225225264059,51.41670059586112,50.91168824543142,11.40175425099138,4.473798526777419,4.0,27.822034827439836,26.004608118158416,-70.48012586576364,156.19595949289334,0.8043117744610282,165.94742268041236,177.89175257731958,0,37,29
1,38,142,270,62,187,44,172,51.394366197183096,179.29577464788733,1.507770540253858,166,0.8556251874317177,13.446189622059965,1,0.5259259259259259,0.6632308917719228,19.483286506902417,20.248456731316587,5.0,2.145039500220786,2.0,10.539303728279354,10.084469646168165,47.51607780538958,51.8700576850888,0.8554216867469879,51.394366197183096,179.29577464788733,0,38,27
